Region,Total recorded crime - including fraud,Total recorded crime - excluding fraud,,Violence against the person,Homicide,Violence with injury,Violence without injury,Sexual offences,Robbery,Theft offences,Burglary,Domestic burglary,Non-domestic burglary,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage and arson,,Drug offences,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Fraud
Cleveland,39522,39067,,6370,3,3737,2630,563,259,19811,4561,2054,2507,3329,372,994,5174,5381,7934,,2116,267,1342,405,455
Durham,29974,29669,,4287,6,2420,1861,360,108,15009,3983,1385,2598,3355,149,595,2827,4100,6752,,1281,218,1178,476,305
Northumbria,69486,68575,,9186,17,6008,3161,914,465,34506,8514,3322,5192,6105,1076,1913,8678,8220,14193,,4730,633,2844,1104,911
North East Region,138982,137311,,19843,26,12165,7652,1837,832,69326,17058,6761,10297,12789,1597,3502,16679,17701,28879,,8127,1118,5364,1985,1671
,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire,57908,56685,,10882,5,4889,5988,880,321,28840,6884,2895,3989,5706,954,1793,6580,6923,9976,,2825,260,2123,578,1223
Cumbria,23286,22970,,4454,6,2331,2117,371,58,9784,2297,678,1619,1571,137,432,2459,2888,5290,,1531,143,1008,331,316
Greater Manchester,178857,176276,,27933,36,14293,13604,2940,3898,94336,28363,15348,13015,20700,5456,4518,13889,21410,28765,,9004,1063,6431,1906,2581
Lancashire,93427,91604,,18562,14,10654,7894,1738,626,46045,11856,4321,7535,8527,958,2135,8286,14283,16589,,3961,514,2618,951,1823
Merseyside,90945,89316,,11323,12,6536,4775,1338,1223,43482,11574,6419,5155,8668,2518,1692,9180,9850,17013,,10169,663,3149,956,1629
North West Region,444423,436851,,73154,73,38703,34378,7267,6126,222487,60974,29661,31313,45172,10023,10570,40394,55354,77633,,27490,2643,15329,4722,7572
,,,,,,,,,,,,,,,,,,,,,,,,,
Humberside,64707,63492,,11461,6,6811,4644,1219,479,33016,10120,3832,6288,4834,581,2332,6844,8305,11020,,2459,277,2723,838,1215
North Yorkshire,34801,33901,,6009,5,3548,2456,666,123,17605,4313,1619,2694,2689,477,1179,3722,5225,5867,,1862,178,1121,470,900
South Yorkshire,93116,91437,,10450,18,7313,3119,903,964,54647,16661,8206,8455,12439,1805,1448,9680,12614,16644,,4401,505,2029,894,1679
West Yorkshire,163746,159879,,21480,15,11737,9728,2684,1974,93721,26608,12969,13639,21577,4993,2109,14052,24382,25654,,6798,689,4673,2206,3867
Yorkshire and Humber Region,356370,348709,,49400,44,29409,19947,5472,3540,198989,57702,26626,31076,41539,7856,7068,34298,50526,59185,,15520,1649,10546,4408,7661
,,,,,,,,,,,,,,,,,,,,,,,,,
Derbyshire,51749,50970,,9529,3,5220,4306,840,540,26478,7279,2868,4411,5420,673,1199,5090,6817,8855,,2651,277,1183,617,779
Leicestershire,58472,57352,,10157,10,4442,5705,1024,705,30428,7161,3743,3418,6516,1388,2167,5541,7655,9430,,2223,297,2342,746,1120
Lincolnshire,37023,36527,,5620,6,2999,2615,579,172,20428,5386,1932,3454,3316,400,1466,4645,5215,6026,,1541,250,1357,554,496
Northamptonshire,45273,44330,,7882,6,4001,3875,758,596,23626,6459,3144,3315,5342,1167,898,4468,5292,7966,,1798,247,953,504,943
Nottinghamshire,68777,67950,,13217,14,7106,6097,1020,1005,35186,8606,4353,4253,6893,1980,1955,7138,8614,10662,,3814,472,1793,781,827
East Midlands Region,261294,257129,,46405,39,23768,22598,4221,3018,136146,34891,16040,18851,27487,5608,7685,26882,33593,42939,,12027,1543,7628,3202,4165
,,,,,,,,,,,,,,,,,,,,,,,,,
